email,name,description,status,password
merchA@rake.com,Merch A,Created from rake task!,active,Password123!
merchB@rake.com,Merch B,Created from rake task!,active,Password123!
merchC@rake.com,Merch C,Created from rake task!,active,Password123!
merchD@rake.com,Merch D,Created from rake task!,active,Password123!
merchE@rake.com,Merch E,Created from rake task!,active,Password123!
merchF@rake.com,Merch F,Created from rake task!,active,Password123!
merchG@rake.com,Merch G,Created from rake task!,active,Password123!
merchH@rake.com,Merch H,Created from rake task!,active,Password123!
merchI@rake.com,Merch I,Created from rake task!,active,Password123!
merchJ@rake.com,Merch J,Created from rake task!,active,Password123!
